museum_url,category,museum_name,street_address,state,country,full_address,website_link,latitude,longitude
https://whichmuseum.com/museum/the-old-jail-art-center-albany-31982,Art & Design,The Old Jail Art Center,201 S 2nd St,Texas,United States,"201 S 2nd St, Texas, United States",https://theojac.org,33.1785021,-102.2766195
https://whichmuseum.com/museum/sayen-house-gardens-hamilton-square-31983,Nature & Natural History,Sayen House & Gardens,155 Hughes Dr,New Jersey,United States,"155 Hughes Dr, New Jersey, United States",https://www.hamiltonnj.com/sayengardens,40.2351279,-74.656987
https://whichmuseum.com/museum/rutherfurd-hall-hackettstown-31984,History & Anthropology,Rutherfurd Hall,1686 County Rd 517,New Jersey,United States,"1686 County Rd 517, New Jersey, United States",https://rutherfurdhall.org,41.2492942,-74.4781201
https://whichmuseum.com/museum/white-river-light-station-museum-whitehall-32003,History & Anthropology,White River Light Station & Museum,6199 Murray Rd,Michigan,United States,"6199 Murray Rd, Michigan, United States",https://splka.org/what-we-do/our-lights/white-river.html,42.3224279,-84.4479125
https://whichmuseum.com/museum/aldrich-house-providence-32004,History & Anthropology,Aldrich House,110 Benevolent St,Rhode Island,United States,"110 Benevolent St, Rhode Island, United States",https://www.rihs.org/locations/the-aldrich-house/,41.8253531,-71.3957363
https://whichmuseum.com/museum/kelso-depot-visitor-center-32202,History & Anthropology,Kelso Depot Visitor Center,Kelso Cima Rd,California,United States,"Kelso Cima Rd, California, United States",https://www.nps.gov/moja/learn/historyculture/kelso-depot.htm,35.0522038,-115.6019778
https://whichmuseum.com/museum/lincoln-memorial-garden-and-nature-center-springfield-32207,Nature & Natural History,Lincoln Memorial Garden and Nature Center,2301 E Lake Shore Dr,Illinois,United States,"2301 E Lake Shore Dr, Illinois, United States",https://www.lincolnmemorialgarden.org/,39.6966642,-89.5979221
https://whichmuseum.com/museum/bluff-point-lighthouse-plattsburgh-32208,History & Anthropology,Bluff Point Lighthouse,Lake Champlain,New York,United States,"Lake Champlain, New York, United States",https://www.clintoncountyhistorical.org/applicationpages/view/1,44.3214254,-73.319416
https://whichmuseum.com/museum/motorcycle-hall-of-fame-museum-pickerington-13358,Science & Technology,Motorcycle Hall of Fame Museum,Yarmouth Dr,Ohio,United States,"Yarmouth Dr, Ohio, United States",https://americanmotorcyclist.com/hall-of-fame/,39.6592822,-84.1909222
https://whichmuseum.com/museum/malibu-lagoon-museum-adamson-house-16484,History & Anthropology,Malibu Lagoon Museum - Adamson House,Pacific Coast Highway,California,United States,"Pacific Coast Highway, California, United States",http://www.adamsonhouse.org/,33.7894805,-118.1893842
https://whichmuseum.com/museum/meadows-museum-university-park-18588,Art & Design,Meadows Museum,5900 Bishop Boulevard,Texas,United States,"5900 Bishop Boulevard, Texas, United States",http://www.meadowsmuseumdallas.org/,32.8384328,-96.7843711
