latitude,longitude,company,facility_name,city,state,address,products_or_focus,source_dataset,EV_facility
42.51998629704,-83.041772457296,General Motors,Global Technical Center,Warren,MI,"Global Technical Center, Warren, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
41.661126,-86.1793,Electric Last Mile Solutions,Electric Last Mile Solutions Mishawaka EV Plant,Mishawaka,IN,"Electric Last Mile Solutions Mishawaka EV Plant, Mishawaka, IN",Light-Duty (Class 1-2),EV manufacturing,TRUE
47.4746582,-122.2067903,Kenworth,Renton Assembly Plant,Renton,WA,"Renton Assembly Plant, Renton, WA",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
41.487954,-82.075419,Ford,Ford Ohio Assembly Plant,Sheffield,OH,"Ford Ohio Assembly Plant, Sheffield, OH",Medium-Duty (Class 3-6),EV manufacturing,TRUE
39.104383,-94.505504,Ford,Kansas City Assembly Plant,Kansas City,MO,"Kansas City Assembly Plant, Kansas City, MO",Medium-Duty (Class 3-6),EV manufacturing,TRUE
42.307175,-83.161995,Ford,Rouge Electric Vehicle Center,Dearborn,MI,"Rouge Electric Vehicle Center, Dearborn, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
45.571981,-88.903414,Hometown Trolley,HQ and Manufacturing Facility,Crandon,WI,"HQ and Manufacturing Facility, Crandon, WI",Multiple Classes,EV manufacturing,TRUE
32.0806102,-81.0900966,Hyundai,Metaplant Manufacturing Joint Venture (JV),Savannah,GA,"Metaplant Manufacturing Joint Venture (JV), Savannah, GA",Multiple Classes,EV manufacturing,TRUE
35.953972,-80.003935,Thomas Built Buses,High Point,High Point,NC,"High Point, High Point, NC",Medium-Duty (Class 3-6),EV manufacturing,TRUE
42.3950635,-83.3694956,Roush Industries,Roush Livonia Manufacturing Facility,Livonia,MI,"Roush Livonia Manufacturing Facility, Livonia, MI",Medium-Duty (Class 3-6),EV manufacturing,TRUE
32.279662,-86.330304,Hyundai,Hyundai Motor Manufacturing Alabama,Montgomery,AL,"Hyundai Motor Manufacturing Alabama, Montgomery, AL",Light-Duty (Class 1-2),EV manufacturing,TRUE
35.622969,-79.076953,VinFast,Chatham County Facility,Moncure,NC,"Chatham County Facility, Moncure, NC",Multiple Classes,EV manufacturing,TRUE
