"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"NY Lancaster Shisler Rd Site 2 Solar CSG","AC Power 14, LLC","Lancaster","New York","solar",5.2,-74.964072,44.678878
"NY Potsdam 28 Hamilton St. Solar","Potsdam Community Solar 2, LLC","Potsdam","New York","solar",4.4,-74.964072,44.678878
"Pioneer Hutt Wind Energy","Pioneer Hutt Wind Energy, LLC","Midland","Texas","wind",140,-101.9043,31.7983
"BCE Los Alamitos 2","Bright Canyon Energy","Los Alamitos","California","solar",20,-118.0509,33.7841
"BCE Los Alamitos 1","Bright Canyon Energy","Los Alamitos","California","solar",20,-118.0639,33.7899
"CPG - Duke 5300A Holabird","Solar DG MD Holabird Broening ACC, LLC","Baltimore","Maryland","solar",1.5,-76.550534,39.270749
"CPG - Duke 5300B Holabird","Solar DG MD Holabird Broening ACC, LLC","Baltimore","Maryland","solar",1.5,-76.551326,39.270749
"CPG - Duke 5900 Holabird","Solar DG MD Holabird AJCFB, LLC","Baltimore","Maryland","solar",1.5,-76.545994,39.273131
"CPG - Duke 6000 Holabird","Solar DG MD Holabird AJCFB, LLC","Baltimore","Maryland","solar",1.5,-76.544434,39.273278
"Shamrock Wind","Shamrock Wind LLC","TBD","Texas","wind",223.9,-101.607,30.936
"Chesapeake Solar Project","Chesapeake Solar Project, LLC","Chesapeake","Virginia","solar",118,-76.29661,36.685103
"Bulldog Solar LLC","Bulldog Solar LLC","Warrenton","Georgia","solar",80,-82.678,33.371
"Cane Creek","Cane Creek Solar, LLC","Pachuta","Mississippi","solar",78.5,-88.887575,31.976997
"Moonshot","Moonshot Solar, LLC","Picayune","Mississippi","solar",78.5,-89.502896,30.437172
"HEB00063","Texas Microgrid, LLC","Pearland","Texas","natural gas",1.6,-95.39038,29.55952
"HEB00069","Texas Microgrid, LLC","Corpus Christi","Texas","natural gas",1.6,-97.262513,27.694932
"Winquepin Renewable Energy Center","Duke Energy Florida, LLC","Lee","Florida","solar",74.9,-83.298234,30.282497
"Wolverine Solar","Wolverine Solar, LLC","Maynard","Minnesota","solar",1,-95.49305,44.96188
"BUC00040","Texas Microgrid, LLC","Katy","Texas","natural gas",1.6,-95.799137,29.787919
"HEB00591","Texas Microgrid, LLC","Round Rock","Texas","natural gas",1.6,-97.65854,30.518818
"HEB00092","Texas Microgrid, LLC","Victoria","Texas","natural gas",1.6,-96.996805,28.851871
"HEB00095","Texas Microgrid, LLC","Laredo","Texas","natural gas",1.6,-99.473866,27.607476
"HEBCCBakery","Texas Microgrid, LLC","Corpus Christi","Texas","natural gas",3.2,-97.46234,27.786287
"HEBSnackPlant","Texas Microgrid, LLC","Houston","Texas","natural gas",1.6,-95.540618,29.844469
"HEBHoustonDistributionCenter","Texas Microgrid, LLC","Houston","Texas","natural gas",12.8,-95.53685,29.8397
"Shady Oaks Wind 2","Shady Oaks Wind 2, LLC","Compton","Illinois","wind",108.3,-89.059804,41.666523
"Black Mesa Solar, LLC","Black Mesa Solar, LLC","King Hill","Idaho","solar",40,-115.181539,42.90741
"Fredonia Solar (KS)","PPM Solar LLC","Fredonia","Kansas","solar",2,-95.8177,37.5473
"BKV Ponder Solar 1","PPM Solar LLC","Ponder","Texas","solar",2.5,-97.254644,33.155767
"Highpeak Solar 1","PPM Solar LLC","Coahoma","Texas","solar",10,-101.276601,32.494346
"Crane Garden","Crane Garden LLC","Lester Prairie","Minnesota","solar",1,-94.0327,44.909
"San Juan Solar I","San Juan Solar I, LLC","Kirtland","New Mexico","solar",300,-108.351358,36.842533
"Sunlight Storage II","Sunlight Storage II","Desert Center","California","batteries",230,-115.793889,33.809536
"Fox Garden","Fox Garden LLC","Waseca","Minnesota","solar",1,-93.491546,43.975105
"Pepin Garden","Pepin Garden LLC","Kellogg","Minnesota","solar",1,-91.9954,44.3163
"Pickerel Garden","Pickerel Garden LLC","Clear Lake","Minnesota","solar",1,-94.0237,45.4295
"Sturgeon Garden","Sturgeon Garden LLC","Goodhue","Minnesota","solar",1,-92.5712,44.3845
"Winona Garden","Winona Garden LLC","Altura","Minnesota","solar",1,-91.92889,44.10649
"North Kingstown Solar LLC","North Kingstown Solar LLC","North Kingstown","Rhode Island","solar",1.9,-71.447334,41.543781
"Phillips Route 82 Solar LLC","Phillips Route 82 Solar LLC","East Fishkill","New York","solar",5,-73.75,41.65
"White Rock Road LLC","White Rock Road LLC","Westerly","Rhode Island","solar",6.5,-71.839504,41.400949
