Post number,Subject,Body,Attachment link,Location,Latitude,Longitude,Post color,Created At (UTC),Updated At (UTC)
103,"462. M&T Bank Buffalo, NY, USA","",http://www.mtb.com/,"M&T Bank Corporate Office, Commerce Drive, Buffalo, NY, USA",43.02708690000001,-78.80044829999997,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
104,"461. HESS New York, NY, USA","",http://www.hess.com/,"New York, NY, USA",40.7127753,-74.0059728,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
105,"460. Advanced Micro Devices, Augustine Drive, Santa Clara, CA, USA","",http://www.amd.com/,"Advanced Micro Devices, Augustine Drive, Santa Clara, CA, USA",37.3829254,-121.97038420000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
106,335. AGCO,"Duluth, GA, USA
",http://www.agcocorp.com/,"Duluth, GA, USA",34.0028786,-84.14463760000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
107,"459. Cintas Center, Herald Avenue, Cincinnati, OH, USA","",http://www.cintas.com/,"Cintas Center, Herald Avenue, Cincinnati, OH, USA",39.15036159999999,-84.47184149999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
108,"458. Dillard's, Little Rock AR, USA","",http://www.ascenaretail.com/,"Dillard's, West Markham Street, Little Rock, AR, USA",34.75346740000001,-92.34189630000003,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
109,334. COTY,"New York, N.Y., USA
",http://www.coty.com/,"New York, N.Y., USA",40.7127753,-74.0059728,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
110,"457. Ascena Retail Group Inc (ASNA),Mahwah, NJ, USA","",http://www.ascenaretail.com/,"Ascena Retail Group Inc (ASNA), MacArthur Boulevard, Mahwah, NJ, USA",41.0738813,-74.17128300000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
111,"333. Pioneer Natural Resources Company, North O'Connor Boulevard, Irving, TX, USA","",http://www.pxd.com/,"Pioneer Natural Resources Company, North O'Connor Boulevard, Irving, TX, USA",32.8712639,-96.93885610000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
112,"456. Marathon Oil, Houston, TX, USA","",http://www.marathonoil.com/,"Marathon Oil Tower, San Felipe Street, Houston, TX, USA",29.74935640000001,-95.47157049999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
113,332. First Data,"New York, N.Y., USA
",http://www.firstdata.com/,"New York, N.Y., USA",40.7127753,-74.0059728,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
114,"455. Seaboard Corporation Shawnee Mission, KS, USA","",http://www.seaboardcorp.com/,"Seaboard Corporation, West 67th Street, Shawnee Mission, KS, USA",39.0081599,-94.69095700000003,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
115,331. Hertz Global Holdings,"Estero, Fla, USA
",http://www.hertz.com/,"Estero, Fla, USA",26.438136,-81.80675229999997,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
116,"454. Chemours, Wilmington, DE, USA","",http://www.chemours.com/,"Wilmington, DE, USA",39.74465499999999,-75.54839090000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
117,"453. Northern Trust, Chicago, IL, USA","",https://www.northerntrust.com/united-states/home,"Northern Trust, South LaSalle Street, Chicago, IL, USA",41.8815778,-87.63258109999998,White,"Sep 16, 2019 09:25am","Sep 26, 2023 11:20pm"
118,330. Calpine,"",http://www.calpine.com/,"Houston, Texas, USA",29.7604267,-95.3698028,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
119,"452. Rockwell Automation, Inc., Milwaukee, WI, USA","",http://www.rockwellautomation.com/,"Rockwell Automation, Inc., South 2nd Street, Milwaukee, WI, USA",43.0185625,-87.91337060000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
