Ref#,Prefix,Property Name,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,State,County,City ,Street & Number,External Link,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
66000780,,"Olmsted, Frederick Law, House, National Historic Site",Listed,Single,FALSE,1.8, COMMUNITY PLANNING AND DEVELOPMENT; LANDSCAPE ARCHITECTURE,BUILDING,MASSACHUSETTS,Norfolk,Brookline,99 Warren St.,https://catalog.archives.gov/id/63793805,10/15/66,5/23/63, Frederick Law Olmsted National Historic Site,Frederick Law Olmstead,66000780
66000781,,Orchard House,Listed,Single,FALSE,2.1, LITERATURE,BUILDING,MASSACHUSETTS,Middlesex,Concord,Lexington Rd.,https://catalog.archives.gov/id/63793757,10/15/66,12/29/62," Alcott,Louisa May,House",,66000781
70000539,,"Otis, (First) Harrison Gray, House",Listed,Single,FALSE,1, ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,141 Cambridge St.,https://catalog.archives.gov/id/63793829,12/30/70,12/30/70,,,70000539
75000291,,"Paine, Robert Treat, Jr., House",Listed,Single,FALSE,113, LANDSCAPE ARCHITECTURE; ARCHITECTURE; SOCIAL HISTORY,BUILDING,MASSACHUSETTS,Middlesex,Waltham,577 Beaver St.,https://catalog.archives.gov/id/63795981,10/7/75,6/30/89, Stonehurst,,75000291
66000782,,"Parkman, Francis, House",Listed,Single,FALSE,0.9, LITERATURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,50 Chestnut St.,https://catalog.archives.gov/id/63793885,10/15/66,12/29/62,,,66000782
71000903,,"Parsonage, The",Listed,Single,FALSE,0.9, LITERATURE,BUILDING,MASSACHUSETTS,Middlesex,Natick,16 Pleasant St.,https://catalog.archives.gov/id/63793761,11/11/71,11/11/71, Horatio Alger House,,71000903
66000783,,Peabody Museum of Salem,Listed,Single,FALSE,1, EDUCATION,BUILDING,MASSACHUSETTS,Essex,Salem,161 Essex St.,https://catalog.archives.gov/id/63793691,10/15/66,12/21/65, East India Marine Hall;Peabody Academy of Science,,66000783
68000041,,Peirce-Nichols House,Listed,Single,FALSE,1, ARCHITECTURE,BUILDING,MASSACHUSETTS,Essex,Salem,80 Federal St.,https://catalog.archives.gov/id/63793673,11/24/68,11/24/68,,,68000041
68000042,,Pierce-Hichborn House,Listed,Single,FALSE,0.9, ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,29 North Sq.,,11/24/68,11/24/68,,,68000042
12000818,,"Pinkham, Lydia, House",Listed,Single,FALSE,, ARCHITECTURE; COMMERCE; SOCIAL HISTORY,BUILDING,MASSACHUSETTS,Essex,Lynn,285 Western Ave.,https://catalog.archives.gov/id/63794782,9/25/12,8/25/15,,,12000818
86000092,,PT BOAT 796 (torpedo boat),Listed,Single,FALSE,0.9, MILITARY,STRUCTURE,MASSACHUSETTS,Bristol,Fall River,Battleship Cove,,1/14/86,1/14/86,,,86000092
72001330,,"Putnam, Gen. Rufus, House",Listed,Single,FALSE,135, MILITARY,BUILDING,MASSACHUSETTS,Worcester,Rutland,344 Main St.,https://catalog.archives.gov/id/63793913,11/28/72,11/28/72, Bliss-Murray-Putnam House,,72001330
70000095,,Quincy Homestead,Listed,Single,FALSE,1.8, LITERATURE; EDUCATION; POLITICS/GOVERNMENT; ARCHITECTURE,building,MASSACHUSETTS,Norfolk,Quincy,34 Butler Road,https://catalog.archives.gov/id/63796334,7/1/70,4/5/05,,,70000095
66000784,,Quincy Market,Listed,Single,FALSE,4.5, COMMERCE; ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,S. Market St.,https://catalog.archives.gov/id/63793849,11/13/66,11/13/66, Faneuil Hall Market,,66000784
97001274,,"Quincy, Josiah, House",Listed,Single,FALSE,0.8, ARCHITECTURE; POLITICS/GOVERNMENT,BUILDING,MASSACHUSETTS,Norfolk,Quincy,20 Muirhead St.,,9/25/97,9/25/97,,,97001274
71000911,,Red Top,Listed,Single,FALSE,1.5, LITERATURE,BUILDING,MASSACHUSETTS,Middlesex,Belmont,90 Somerset St.,https://catalog.archives.gov/id/63793887,11/11/71,11/11/71, William Dean Howells House,,71000911
03000642,,Revere Beach Reservation,Listed,Single,FALSE,60, LANDSCAPE ARCHITECTURE; COMMUNITY PLANNING AND DEVELOPMENT,SITE,MASSACHUSETTS,Suffolk,Revere,"Revere Beach Boulevard, Eliot Circle to Northern Circle",https://catalog.archives.gov/id/63793881,5/27/03,5/27/03,,,03000642
66000785,,"Revere, Paul, House",Listed,Single,FALSE,0.9, MILITARY; ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,19 North Sq.,,10/15/66,1/20/61,,Boston,66000785
92001874,,"Richards, Ellen H. Swallow, House",Listed,Single,FALSE,0.2, EDUCATION; ENGINEERING; HEALTH/MEDICINE; INVENTION; SCIENCE; SOCIAL HISTORY,BUILDING,MASSACHUSETTS,Suffolk,Jamaica Plain,32 Eliot St.,,3/31/92,3/31/92,,,92001874
76001999,,"Richards, Theodore W., House",Listed,Single,FALSE,0.9, SCIENCE,BUILDING,MASSACHUSETTS,Middlesex,Cambridge,15 Follen St.,,1/7/76,1/7/76, 15 Follen St.,,76001999
