name,institution_type,latitude,longitude
"414. J M Smucker Co Store & Cafe,  Orville, OH, USA",Fortune 500 HQ,40.8027783,-81.76302650000002
"413. Keycorp, Cleveland, OH, USA",Fortune 500 HQ,41.3853982,-81.44180799999998
"412. Dover Corporation, IL, USA",Fortune 500 HQ,41.8332067,-88.00755850000002
"411. Apache Corp, Houston, TX, USA",Fortune 500 HQ,29.744689,-95.46162649999997
"410. American Tower Corporation, Boston, MA, USA",Fortune 500 HQ,42.34644899999999,-71.07998099999998
"409. Keurig Dr Pepper, Inc., Burlington, MA, USA",Fortune 500 HQ,42.4817587,-71.2211466
"408. Casey's General Stores Inc, IA, USA",Fortune 500 HQ,41.693711,-93.57317
"407. Raymond James Financial, St. Petersburg, FL, USA",Fortune 500 HQ,27.8887405,-82.66696279999996
"406. Weyerhaeuser Company Seattle, WA, USA",Fortune 500 HQ,47.6004408,-122.332628
"405. Activision Blizzard, Santa Monica, CA, USA",Fortune 500 HQ,34.0198026,-118.4524457
"404. Quest Diagnostics Corporate, Secaucus, NJ, USA",Fortune 500 HQ,40.7878337,-74.04492970000001
"403. Constellation Brands Inc, High Point Drive, Victor, NY, USA",Fortune 500 HQ,43.0284222,-77.43482269999998
"402. Fidelity National Financial, Inc.,, Riverside Avenue, Jacksonville, FL, USA",Fortune 500 HQ,30.3181782,-81.67643140000001
"401. A-Mark Previous Metals El Segundo, CA, USA",Fortune 500 HQ,33.9191799,-118.4164652
"400. UGI Corporation, North Gulph Road, King of Prussia, PA, USA",Fortune 500 HQ,40.0885417,-75.4070304
310. United Natural Foods,Fortune 500 HQ,41.8239891,-71.41283429999999
309. Chesapeake Energy,Fortune 500 HQ,35.4675602,-97.5164276
308. Navistar International,Fortune 500 HQ,41.801141,-88.07478750000001
307. Delek US Holdings,Fortune 500 HQ,36.0331164,-86.7827772
306. American Family Insurance Group,Fortune 500 HQ,43.0730517,-89.40123019999999
305. IQVIA Holdings,Fortune 500 HQ,35.9940329,-78.898619
304. SunTrust Banks,Fortune 500 HQ,33.7489954,-84.3879824
303. Ally Financial,Fortune 500 HQ,42.33142699999999,-83.0457538
302. Targa Resources,Fortune 500 HQ,29.7604267,-95.3698028
"301. BorgWarner Propulsion Technical Center, Automation Avenue, Auburn Hills, MI, USA",Fortune 500 HQ,42.69708370000001,-83.2535823
"300. Silver Spring, MD, USA",Fortune 500 HQ,38.99066570000001,-77.02608800000002
"299. CenterPoint Energy Plaza, Louisiana Street, Houston, TX, USA",Fortune 500 HQ,29.7571169,-95.36798879999998
"298. Pacific Life Insurance Co, Newport Center Drive, Newport Beach, CA, USA",Fortune 500 HQ,33.6194334,-117.877543
297. DEVON ENERGY,Fortune 500 HQ,35.4675602,-97.5164276
296. AES,Fortune 500 HQ,38.8799697,-77.1067698
295. EBAY,Fortune 500 HQ,37.3382082,-121.8863286
294. Molson Coors Brewing,Fortune 500 HQ,39.7392358,-104.990251
293. Universal Health Services,Fortune 500 HQ,40.10128559999999,-75.38355250000001
292. Live Nation Entertainment,Fortune 500 HQ,34.0736204,-118.4003563
291. NRG Energy,Fortune 500 HQ,40.3572976,-74.6672226
"290. L3 Technologies, Third Avenue, New York, NY, USA",Fortune 500 HQ,40.7492599,-73.975865
"289. Charles Schwab, Main Street, San Francisco, CA, USA",Fortune 500 HQ,37.790691700000004,-122.39282709999998
288. Entergy,Fortune 500 HQ,29.95106579999999,-90.0715323
287. Lam Research,Fortune 500 HQ,37.5485396,-121.988583
286. Baxter International,Fortune 500 HQ,42.1711365,-87.84451189999999
285. Office Depot,Fortune 500 HQ,26.3683064,-80.12893209999999
284. Crown Holdings,Fortune 500 HQ,40.245664,-74.8459972
283. Quanta Service,Fortune 500 HQ,29.7604267,-95.3698028
282. W.W. Grainger,Fortune 500 HQ,42.25863419999999,-87.84062499999999
281. AutoZone,Fortune 500 HQ,35.1495343,-90.0489801
280. Expedia Group,Fortune 500 HQ,47.6101497,-122.2015159
279. Corning,Fortune 500 HQ,42.1428521,-77.0546903
278. Laboratory Corp. of America,Fortune 500 HQ,36.0956918,-79.4377991
277. Norfolk Southern,Fortune 500 HQ,36.8507689,-76.2858726
"276. Huntsman LLC, Woodloch Forest Drive, The Woodlands, TX, USA",Fortune 500 HQ,30.1596297,-95.4564633
"275. Reliance Steel & Aluminum Co, South Grand Avenue, Los Angeles, CA, USA",Fortune 500 HQ,34.051473,-118.2514575
"274. Xcel Energy, Nicollet Mall, Minneapolis, MN, USA",Fortune 500 HQ,44.97957539999999,-93.27050910000004
273. Unum Group,Fortune 500 HQ,35.0456297,-85.30968009999998
"272. Group 1 Automotive, Gessner Road, Houston, TX, USA",Fortune 500 HQ,29.7777447,-95.5438873
271. BALL,Fortune 500 HQ,39.92054109999999,-105.0866504
