state,city,theatre,built,seats,address,latitude,longitude
MI,Three Rivers,Riviera Theatre,1925,370,"Riviera Theatre, Three Rivers, MI",41.9450403,-85.6344182
MN,Ely,Ely's Historic State Theater,1935,300,"Ely's Historic State Theater, Ely, MN",47.903053,-91.862881
MN,St. Cloud,Paramount Theatre,1921,700,"Paramount Theatre, St. Cloud, MN",45.559158,-94.163715
MN,Virginia,Lyric Center for the Arts,1912,275,"Lyric Center for the Arts, Virginia, MN",47.52285,-92.53945
MN,Zumbrota,State Theatre,1921,275,"State Theatre, Zumbrota, MN",44.2931943,-92.6690746
MS,Hattiesburg,Saenger Theater,1929,997,"Saenger Theater, Hattiesburg, MS",31.3259932,-89.2904849
MS,Meridian,MSU Riley Center,1889,980,"MSU Riley Center, Meridian, MS",32.36404,-88.700384
MS,Meridian,The Temple Theatre,1927,1600,"The Temple Theatre, Meridian, MS",32.3652081,-88.7022378
MS,Philadelphia,Ellis Theater,1926,508,"Ellis Theater, Philadelphia, MS",32.770266,-89.110883
MO,Cape Girardeau,Cape Broadway Theatre,1921,700,"Cape Broadway Theatre, Cape Girardeau, MO",37.236640982906,-89.794431477689
MO,Kansas City,Folly Theater,1900,1078,"Folly Theater, Kansas City, MO",39.100324,-94.587282
MO,Springfield,Gillioz Theatre,1926,1130,"Gillioz Theatre, Springfield, MO",37.2093622,-93.2904854
NE,Grand Island,Grand Theatre,1937,487,"Grand Theatre, Grand Island, NE",40.9249458,-98.3430091
NE,Kearney,The World Theatre,1927,300,"The World Theatre, Kearney, NE",40.6991141,-99.0820752
NE,Omaha,The Orpheum Theater,1927,2600,"The Orpheum Theater, Omaha, NE",41.2562231,-95.9363071
NE,Scottsbluff,Midwest Theater,1946,729,"Midwest Theater, Scottsbluff, NE",41.8636303,-103.6623056
NV,Pioche,Gem Theater,1936,117,"Gem Theater, Pioche, NV",37.930035,-114.451055
NV,Reno,Pioneer Center,1968,1500,"Pioneer Center, Reno, NV",39.486907906474,-119.826044171225
NH,Jaffrey,The Park Theatre,1930,1200,"The Park Theatre, Jaffrey, NH",42.814764,-72.024013
NH,Keene,The Colonial Theatre,1924,886,"The Colonial Theatre, Keene, NH",42.9316614,-72.2786683
NH,Manchester,Palace Theatre,1914,834,"Palace Theatre, Manchester, NH",53.4749948,-2.2409776
NH,Portsmouth,The Music Hall,1878,895,"The Music Hall, Portsmouth, NH",43.075784,-70.7596168
NJ,Boonton,Darress Theatre,1919,NA,"Darress Theatre, Boonton, NJ",40.9055294,-74.4121589
NJ,Montclair,The Clairidge,1921,599,"The Clairidge, Montclair, NJ",40.814975,-74.218602
NJ,Morristown,Mayo Performing Arts Center,1937,1200,"Mayo Performing Arts Center, Morristown, NJ",40.794337,-74.477968
NJ,New Brunswick,State Theatre,1921,1800,"State Theatre, New Brunswick, NJ",40.493355,-74.44473
NJ,Newark,Newark Symphony Hall,1925,2743,"Newark Symphony Hall, Newark, NJ",40.72767,-74.1762
NJ,Rahway,Rahway Theatre,1928,1356,"Rahway Theatre, Rahway, NJ",40.61094,-74.27626
NJ,Red Bank,Count Basie Theatre,1926,1550,"Count Basie Theatre, Red Bank, NJ",40.33976,-74.06783
NJ,Spring Lake,Spring Lake Community House and Theatre,1923,350,"Spring Lake Community House and Theatre, Spring Lake, NJ",39.71937298296,-75.0906440034
NJ,Westfield,Rialto Theater,1922,200,"Rialto Theater, Westfield, NJ",40.649161,-74.343251
NM,Carlsbad,Cavern Theater,1951,520,"Cavern Theater, Carlsbad, NM",32.412716,-104.227819
NM,Gallup,El Morro Theatre,1928,430,"El Morro Theatre, Gallup, NM",35.526876,-108.742627
NY,Avon,The Park Theater,1938,200,"The Park Theater, Avon, NY",42.91113,-77.74687
NY,Bedford,Bedford Playhouse,1947,255,"Bedford Playhouse, Bedford, NY",41.2044127,-73.6441405
NY,Binghamton,Forum Theatre,1919,1525,"Forum Theatre, Binghamton, NY",42.1014848,-75.9123855
NY,Brooklyn,Brooklyn Academy of Music,1906,2000,"Brooklyn Academy of Music, Brooklyn, NY",40.68667,-73.97778
